,name_track,name_artist,genre,type,year,id,popularity
137,Naked,James Arthur,pop,track,2019,2fmyrECK6bdfoGven0UMZx,75
138,Soloppgang,Kristian Kristensen,pop,track,2019,0cPkaBWbFsLtTBcp4tY5tY,41
139,På oss,Dree Low,pop,track,2019,3qJGyK60hT7NlkwLcHCVPP,56
140,Praying To A God - LUKE Remix,Mr. Probz,pop,track,2019,4qB9e24mvDa5rG93OnmiC8,70
141,Kingston,Faye Webster,pop,track,2019,5WbfFTuIldjL9x7W6y5l7R,82
142,Ma chérie,Hov1,pop,track,2019,102vyskJwrkuJy9tlCLD25,57
143,Sofia,Clairo,pop,track,2019,7B3z0ySL9Rr0XvZEAjWZzM,81
144,Falling In Love,Cigarettes After Sex,pop,track,2019,3g7ngtg7xK3N9nKwAjDfH3,76
145,Tills mitt hjärta går under,Myra Granberg,pop,track,2019,71q2qYTo4BzqNGpy5S7vV3,54
146,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,pop,track,2019,5dsk3uLRghh1WmuN21LEW8,57
147,All For Us,Labrinth,pop,track,2019,76YSWx6L6FNsuaP6GWBb8P,76
148,Ballin' (with Roddy Ricch),Mustard,pop,track,2019,3QzAOrNlsabgbMwlZt7TAY,77
149,Simple,Florida Georgia Line,pop,track,2019,4L9Ds4mpD3SuYoWwFUlv16,71
150,Falling Like The Stars,James Arthur,pop,track,2019,395KzBy0bkb57dEvg6cfzJ,71
151,No Cap,Adel,pop,track,2019,3G69nPByVZKPtgsesLKbx4,54
152,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,pop,track,2019,2Rk4JlNc2TPmZe2af99d45,76
153,"Genius (feat. Sia, Diplo, and Labrinth)",Sia,pop,track,2019,4xigPf2sigSPmuFH3qCelB,76
154,Movement,Hozier,pop,track,2019,0SFq19lgG4qbQAZaNZ3xhO,68
155,"break up with your girlfriend, i'm bored",Ariana Grande,pop,track,2019,4kV4N9D1iKVxx1KLvtTpjS,77
156,Gbona,Burna Boy,pop,track,2019,7rpWDu9GPlLxbLorYKVys7,69
157,Paper Rings,Taylor Swift,pop,track,2019,4y5bvROuBDPr5fuwXbIBZR,79
158,Turn Me On (feat. Vula),Riton,pop,track,2019,0qaWEvPkts34WF68r8Dzx9,70
159,The Search,NF,pop,track,2019,3oLe5ZILASG8vU5dxIMfLY,76
160,Moulaga,Heuss L'enfoiré,pop,track,2019,5BfCoUcWNXcpyJfjXRIeyC,71
161,Say So,Doja Cat,pop,track,2019,3Dv1eDb0MEgF93GpLXlucZ,78
162,Mariners Apartment Complex,Lana Del Rey,pop,track,2019,6OG05bPAwUuV3OMvy2Vy1P,72
163,bloodline,Ariana Grande,pop,track,2019,2hloaUoRonYssMuqLCBLTX,80
164,Cradles,Sub Urban,pop,track,2019,47UFoOuvrkt4khE7c5aap6,76
165,Taste (feat. Offset),Tyga,pop,track,2019,2toVe5hfuIi97ytDPDbQFt,76
166,BOP,DaBaby,pop,track,2019,6Ozh9Ok6h4Oi1wUSLtBseN,77
167,Why Why Why Why Why,SAULT,pop,track,2019,4zwq3QUKgMNk0NSLl7fpbP,72
168,boyfriend (with Social House),Ariana Grande,pop,track,2019,0Ryd8975WihbObpp5cPW1t,80
169,OUT WEST (feat. Young Thug),JACKBOYS,pop,track,2019,6gi6y1xwmVszDWkUqab1qw,78
170,Tror jag hittar hem,Lars Winnerbäck,pop,track,2019,3sPZOuqxS1jzwTDKZHrsWa,54
171,Écoute Chérie,Vendredi sur Mer,pop,track,2019,1zyUz3eZ3sytdaR9lfW17q,72
172,Money In The Grave (Drake ft. Rick Ross),Drake,pop,track,2019,5ry2OE6R2zPQFDO85XkgRb,76
173,Dancing With A Stranger (with Normani),Sam Smith,pop,track,2019,6Qs4SXO9dwPj5GKvVOv8Ki,74
174,Pure Water (with Migos),Mustard,pop,track,2019,3j84U36KvLeXNDPv4t5pI8,75
175,Beautiful People (feat. Khalid),Ed Sheeran,pop,track,2019,70eFcWOvlMObDhURTqT4Fv,73
176,Alors On Danse - DubDogz Remix,Stromae,pop,track,2019,19eIZmuXlBmLTha1lPHef7,73
177,All Of The Girls You Loved Before,Taylor Swift,pop,track,2019,4P9Q0GojKVXpRTJCaL3kyy,76
178,Pluto Projector,Rex Orange County,pop,track,2019,4EWBhKf1fOFnyMtUzACXEc,77
179,Nykter,Bolaget,pop,track,2019,4BnhXcMQQ3wud386D8y4ip,58
180,Nights Like This (feat. Ty Dolla $ign),Kehlani,pop,track,2019,6ZRuF2n1CQxyxxAAWsKJOy,75
181,Never Really Over,Katy Perry,pop,track,2019,5PYQUBXc7NYeI1obMKSJK0,71
182,Daylight,Taylor Swift,pop,track,2019,1fzAuUVbzlhZ1lJAx9PtY6,81
183,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,track,2019,4vUmTMuQqjdnvlZmAH61Qk,74
184,Power Over Me,Dermot Kennedy,pop,track,2019,4tViDtaHuSLnh7HVJTrKhs,69
185,When I R.I.P.,Labrinth,pop,track,2019,2t16D9V5FmmRAJjsSpwvZf,68
186,Lose Control,MEDUZA,pop,track,2019,7CHi4DtfK4heMlQaudCuHK,73
